"","term"
"1","flavor"
"2","like"
"3","rich"
"4","sweet"
"5","wine"
"6","zinfandel"
"7","cherri"
"8","dri"
"9","black"
"10","drink"
"11","pepper"
"12","ripe"
"13","tannin"
"14","zin"
"15","blackberri"
"16","fruit"
"17","now"
"18","show"
"19","spice"
"20","flavors"
"21","wild"
"22","finish"
"23","alcohol"
"24","high"
"25","tannic"
"26","soft"
"27","tast"
"28","good"
"29","dry"
"30","tannins"
