"","term"
"1","black"
"2","cherri"
"3","finish"
"4","fruit"
"5","plum"
"6","red"
"7","spice"
"8","sweet"
"9","tannins"
"10","blackberri"
"11","flavor"
"12","oak"
"13","wine"
"14","drink"
"15","flavors"
"16","merlot"
"17","ripe"
"18","show"
"19","dry"
"20","aroma"
"21","herb"
"22","soft"
"23","tannin"
"24","palat"
"25","acid"
"26","cherry"
"27","nose"
"28","note"
"29","rich"
"30","now"
"31","dri"
"32","berri"
"33","green"
"34","dark"
"35","good"
"36","smooth"
