"","term"
"1","acidity"
"2","black"
"3","drink"
"4","fruit"
"5","ripe"
"6","tannin"
"7","wine"
"8","wood"
"9","age"
"10","soft"
"11","dark"
"12","flavor"
"13","rich"
"14","acid"
"15","fresh"
"16","berri"
"17","red"
"18","tannins"
"19","juici"
"20","fruits"
"21","firm"
